"BBL","Address","Initial Benefit Year","Exemption Years","Tax Year","Total # of MCIs","# of MCIs Granted in Full or Partial","# of MCIs Granted in Full","# of MCIs Denied"
1007950069,"152 W 20TH ST",1989,14,2000,1,1,1,0
1008170001,"77 W 15TH ST",2000,14,2000,1,1,0,0
1008240036,"172 5TH AVE",1993,14,2000,1,1,1,0
1008600022,"121 MADISON AVE",1993,14,2000,2,2,0,0
1008630044,"4 PARK AVE",1997,14,2000,4,4,1,0
1008650024,"35 E 35TH ST",1999,14,2000,1,1,0,0
1008650042,"36 E 36TH ST",1999,14,2000,1,1,0,0
1008710039,"145 E 15TH ST",1998,14,2000,1,1,0,0
1008720069,"112 E 17TH ST",1991,14,2000,3,3,2,0
1008730028,"135 E 17TH ST",1990,14,2000,3,2,2,0
1008730040,"150 E 18TH ST",1997,14,2000,2,1,0,1
1008740021,"68 TO 70 IRVING PL",1997,14,2000,2,2,1,0
1008770035,"39A GRAMERCY PARK N",1989,14,2000,1,1,1,0
1008770067,"7 LEXINGTON AVE",1995,14,2000,1,1,0,0
1008790070,"124 E 24TH ST",1990,14,2000,7,5,3,1
1008800006,"105 E 24TH ST",1998,34,2000,3,3,3,0
1008820028,"95 LEXINGTON AVE",1997,14,2000,4,2,0,0
1008820031,"137 E 26TH ST",1995,14,2000,1,1,1,0
1008820043,"155 E 26TH ST",1992,14,2000,1,1,0,0
1008830031,"139 E 27TH ST",1993,14,2000,2,1,1,0
1008850033,"137 E 29TH ST",1992,14,2000,2,2,2,0
1008850037,"145 E 29TH ST",1991,14,2000,2,2,1,0
1008850051,"150 E 30TH ST",1997,14,2000,2,2,0,0
1008890068,"120 E 34TH ST",2000,14,2000,1,1,0,0
1008900005,"17 TO 19 PARK AVE",1990,14,2000,4,3,3,0
1008910027,"139 E 35TH ST",1990,14,2000,3,3,1,0
1008910030,"145 E 35TH ST",1991,14,2000,1,1,1,0
1008910039,"165 E 35TH ST",1999,14,2000,2,2,1,0
1009000027,"245 E 19TH ST",1994,14,2000,1,1,0,0
1009010021,"237 TO 245 E 20TH ST",1993,14,2000,1,1,1,0
1009010058,"200 E 21ST ST",2000,14,2000,1,1,0,0
1009040031,"238 E 24TH ST",1993,14,2000,2,2,1,0
1009060011,"219 E 25TH ST",1991,14,2000,1,1,1,0
1009060055,"200 E 26TH ST",1991,14,2000,1,1,0,0
1009070056,"200 E 27TH ST",1993,14,2000,2,2,0,0
1009080031,"489 2ND AVE",1997,14,2000,1,1,1,0
1009130044,"238 E 33RD ST",1990,14,2000,3,2,2,0
1009160001,"201 E 35TH ST",1995,14,2000,2,2,0,0
1009160005,"533 3RD AVE",1991,14,2000,1,1,1,0
1009160041,"230 TO 236 E 36TH ST",1990,14,2000,4,3,0,1
1009190034,"250 E 39TH ST",1997,14,2000,3,3,0,0
1009200021,"235 E 39TH ST",1992,14,2000,1,1,1,0
1009200023,"239 E 39TH ST",1994,14,2000,1,1,1,0
1009210039,"348 E 15TH ST",1992,14,2000,1,1,0,0
1009240034,"321 1ST AVE",1996,14,2000,1,1,0,0
1009270001,"301 E 21ST ST",1992,14,2000,2,2,1,0
1009440001,"301 E 38TH ST",1993,14,2000,3,3,2,0
1009720001,"520 E 20TH ST",1992,14,2000,165,162,10,0
1009780001,"541 E 20TH ST",1992,14,2000,67,63,0,0
1010070001,"161 W 54TH ST",1991,14,2000,2,2,1,0
1010080026,"105 W 55TH ST",1992,14,2000,1,1,0,0
